id,name,profile,company,job_title,twitter_id,github_id,conference_id
1311,大石 禎二,ログ管理のエキスパート。ELKスタックの導入支援を多数手がけ、Fluentdのコアコントリビューターとして活動。著書「ログ管理実践ガイド」が技術書大賞を受賞。,LogNative,Manager,twi18,github18,13
1312,岩本 敬史,クラウドネイティブ技術のスタートアップを創業。複数のCNCFプロジェクトにコントリビュートし、特にService Meshの実装経験が豊富。国内外のカンファレンスで講演多数。,CloudNativeStartup,CEO,twi19,github19,13
1313,新谷 憲広,AI/MLシステムの設計・実装の専門家。Kubeflowの初期導入から携わり、複数の企業でMLOpsの導入を支援。機械学習の実務経験も豊富で、関連する書籍を執筆。,AINative,CTO,twi20,github20,13
1314,横井 兼典,GoとRustのエキスパート。マイクロサービス開発の実績多数で、特にパフォーマンスチューニングに定評がある。オープンソースプロジェクトへのコントリビューションも多数。,CloudNativeDev,Application Engineer,twi21,github21,13
1315,武田 芳伸,ネットワークエンジニアとして10年以上の経験。Service Meshの実装・運用に精通し、特にIstioとLinkerdの導入支援を多数手がける。CNCFのNetwork TAGメンバー。,NetworkNative,Software Engineer,twi22,github22,13
1316,前川 政年,ストレージシステムのエキスパート。分散ストレージの設計・構築を多数手がけ、特にCephの運用経験が豊富。ストレージ関連の書籍を執筆し、技術書大賞を受賞。,StorageNative,Infrastructure Engineer,twi23,github23,13
1317,福本 華代,セキュリティ監視の専門家。FalcoとOPAの導入支援を多数手がけ、特にコンテナセキュリティの知見が豊富。セキュリティ関連の書籍を執筆し、国内外のカンファレンスで講演多数。,SecurityNative,Infrastructure Engineer,twi24,github24,13
1318,千葉 信平,技術コミュニティの運営経験が豊富。CNCFのAmbassadorとして活動し、複数のカンファレンスのオーガナイザーを務める。技術記事の執筆やポッドキャストのホストも担当。,CloudNativeMarketing,Marketing,twi25,github25,13
1319,馬場 玲,プロジェクトマネージャーとして10年以上の経験。アジャイル開発とDevOpsの導入支援を多数手がけ、特に大規模プロジェクトのマネジメントに定評がある。関連する書籍を執筆。,CloudNativePM,Manager,twi26,github26,13
1320,松尾 晴仁,パフォーマンスチューニングのエキスパート。分散システムのパフォーマンス分析を多数手がけ、特に大規模環境での最適化に定評がある。関連する書籍を執筆し、技術書大賞を受賞。,PerformanceNative,Infrastructure Engineer,twi27,github27,13
1321,Hogehoge Piyo Foobar,テスト自動化の専門家。E2EテストとChaos Engineeringの実装経験が豊富で、特に大規模システムのテスト戦略の設計に定評がある。テスト関連の書籍を執筆。,TestNative,Software Engineer,twi28,github28,13
1322,高山 華代,フロントエンド開発のエキスパート。SPAとPWAの実装経験が豊富で、特にパフォーマンス最適化に定評がある。フロントエンド関連の書籍を執筆し、技術書大賞を受賞。,FrontendNative,Software Engineer,twi29,github29,13
1323,塚本 定二,バックエンド開発の専門家。分散システムの設計・実装を多数手がけ、特にスケーラビリティの設計に定評がある。バックエンド関連の書籍を執筆。,BackendNative,Manager,twi30,github30,13
1324,大城 源三郎,クラウドネイティブ技術のスタートアップを創業。複数のCNCFプロジェクトにコントリビュートし、特にコンテナ技術の実装経験が豊富。国内外のカンファレンスで講演多数。,CloudNativeVentures,CEO,twi31,github31,13
1325,田中 紀世実,データ分析のエキスパート。リアルタイムデータ処理システムの設計を多数手がけ、特に大規模データの分析に定評がある。データ分析関連の書籍を執筆。,DataAnalyticsNative,CTO,twi32,github32,13
1326,大塚 勝夫,モバイルアプリ開発の専門家。クロスプラットフォーム開発の実績多数で、特にパフォーマンス最適化に定評がある。モバイル開発関連の書籍を執筆。,MobileNative,Application Engineer,twi33,github33,13
1327,滝沢 直広,API設計のエキスパート。RESTful APIとGraphQLの実装経験が豊富で、特に大規模APIの設計に定評がある。API設計関連の書籍を執筆。,APINative,Software Engineer,twi34,github34,13
1328,川野 文吾,インフラ自動化の専門家。TerraformとAnsibleの実装経験が豊富で、特に大規模環境の自動化に定評がある。インフラ自動化関連の書籍を執筆。,InfraNative,Infrastructure Engineer,twi35,github35,13
1329,沢田 裕子,品質管理のエキスパート。テスト自動化とCI/CDの導入支援を多数手がけ、特に品質改善の戦略設計に定評がある。品質管理関連の書籍を執筆。,QualityNative,Infrastructure Engineer,twi36,github36,13
1330,浜崎 俊康,技術イベントの企画・運営の専門家。複数のカンファレンスのオーガナイザーを務め、特に技術コミュニティの育成に力を入れている。技術イベント関連の書籍を執筆。,EventNative,Marketing,twi37,github37,13
